,Player,Result,Game Length,Game Type,Champion,Kill,Death,Assist,KDA,CS,CS/min,CK Rate(%),isWin
0,Faker,Victory,26m 56s,Ranked Solo,Thresh,3,5,17,4.0,32,1.23,71,1
1,Faker,Victory,21m 7s,Ranked Solo,Sylas,13,2,6,9.5,166,7.9,73,1
2,Faker,Defeat,28m 11s,Ranked Solo,Galio,5,11,7,1.09,161,5.75,50,0
3,Faker,Defeat,31m 26s,Ranked Solo,Azir,2,6,4,1.0,252,8.13,35,0
4,Faker,Victory,21m 19s,Ranked Solo,Sylas,9,3,6,5.0,177,8.43,63,1
5,Faker,Defeat,26m 9s,Ranked Solo,Camille,6,9,3,1.0,171,6.58,33,0
6,Faker,Victory,16m 17s,Ranked Solo,Akali,3,1,5,8.0,143,8.94,36,1
7,Faker,Victory,16m 1s,Ranked Solo,LeBlanc,6,0,3,9.0,146,9.12,50,1
8,Faker,Victory,26m 17s,Ranked Solo,Seraphine,6,5,14,4.0,176,6.77,56,1
9,Faker,Victory,19m 47s,Ranked Solo,Rakan,1,3,21,7.33,18,0.95,61,1
10,Faker,Victory,16m 4s,Ranked Solo,Sylas,7,0,2,9.0,138,8.62,82,1
11,Faker,Defeat,24m 58s,Ranked Solo,Sylas,5,7,5,1.43,166,6.92,48,0
12,Faker,Defeat,26m 8s,Ranked Solo,Sylas,3,9,6,1.0,181,6.96,60,0
13,Faker,Victory,16m 14s,Ranked Solo,Akali,3,0,5,8.0,148,9.25,36,1
14,Faker,Victory,19m 32s,Ranked Solo,Irelia,5,2,1,3.0,184,9.68,27,1
15,Faker,Victory,15m 17s,Ranked Solo,Galio,6,0,6,12.0,129,8.6,60,1
16,Faker,Defeat,27m 37s,Ranked Solo,Galio,4,5,11,3.0,172,6.37,68,0
17,Faker,Victory,29m 17s,Ranked Solo,Yasuo,4,6,9,2.17,161,5.55,30,1
18,Faker,Victory,30m 41s,Ranked Solo,Lillia,9,4,15,6.0,199,6.63,69,1
19,Faker,Defeat,16m 48s,Ranked Solo,Akali,5,3,0,1.67,137,8.56,83,0
0,Ellim,Victory,19m 26s,ARAM,Galio,14,14,24,2.71,34,1.79,58,1
1,Ellim,Defeat,25m 54s,Ranked Solo,Graves,3,6,7,1.67,172,6.88,63,0
2,Ellim,Victory,30m 30s,Ranked Solo,Hecarim,16,3,14,10.0,193,6.43,81,1
3,Ellim,Defeat,19m 41s,URF,Aphelios,6,13,8,1.08,138,7.26,41,0
4,Ellim,Victory,18m 10s,URF,Yuumi,1,9,44,5.0,10,0.56,64,1
5,Ellim,Victory,14m 22s,URF,Jax,10,16,12,1.38,78,5.57,35,1
6,Ellim,Victory,28m 53s,Ranked Solo,Kindred,8,4,11,4.75,206,7.36,50,1
7,Ellim,Victory,17m 31s,Ranked Solo,Kindred,8,2,5,6.5,110,6.47,57,1
8,Ellim,Defeat,34m 7s,Ranked Solo,Graves,5,4,7,3.0,194,5.71,60,0
9,Ellim,Victory,16m 18s,Ranked Solo,Gragas,4,1,7,11.0,100,6.25,44,1
10,Ellim,Defeat,31m 32s,Ranked Solo,Pantheon,0,11,7,0.64,54,1.74,41,0
11,Ellim,Defeat,15m 52s,Ranked Solo,Jax,0,5,1,0.2,77,5.13,14,0
12,Ellim,Victory,22m 30s,Ranked Solo,Kindred,6,3,11,5.67,187,8.5,59,1
13,Ellim,Victory,13m 20s,Ranked Solo,Pantheon,3,1,6,9.0,18,1.38,53,1
14,Ellim,Victory,24m 7s,Ranked Solo,Sett,11,3,7,6.0,148,6.17,51,1
15,Ellim,Defeat,35m 34s,Ranked Solo,Nidalee,3,5,7,2.0,203,5.8,40,0
16,Ellim,Defeat,18m 37s,Ranked Solo,Graves,0,4,3,0.75,140,7.78,25,0
17,Ellim,Victory,16m 4s,Ranked Solo,Lillia,11,3,3,4.67,111,6.94,74,1
18,Ellim,Defeat,21m 52s,Ranked Solo,Sett,4,8,2,0.75,131,6.24,43,0
19,Ellim,Victory,33m 55s,Ranked Solo,Lillia,4,8,18,2.75,175,5.3,56,1
0,Canna,Victory,19m 26s,ARAM,Vladimir,13,9,26,4.33,64,3.37,60,1
1,Canna,Defeat,18m 38s,Ranked Solo,Irelia,1,11,2,0.27,115,6.39,27,0
2,Canna,Defeat,31m 12s,Ranked Solo,Yone,4,13,8,0.92,206,6.65,44,0
3,Canna,Defeat,22m 40s,Ranked Solo,Camille,6,9,1,0.78,124,5.64,26,0
4,Canna,Victory,30m 41s,Ranked Solo,Camille,8,8,13,2.62,192,6.4,33,1
5,Canna,Victory,23m 11s,Ranked Solo,Akali,8,6,5,2.17,159,6.91,41,1
6,Canna,Defeat,22m 17s,Ranked Solo,Jayce,4,9,4,0.89,169,7.68,42,0
7,Canna,Defeat,32m 8s,Ranked Solo,Irelia,14,7,3,2.43,257,8.03,49,0
8,Canna,Victory,25m 34s,Normal,Cassiopeia,12,8,11,2.88,147,5.88,47,1
9,Canna,Defeat,19m 18s,Normal,Lucian,3,3,1,1.33,167,8.79,24,0
10,Canna,Defeat,37m 6s,Ranked Solo,Camille,6,14,5,0.79,203,5.49,30,0
11,Canna,Victory,19m 25s,Ranked Solo,Camille,4,3,8,4.0,136,7.16,34,1
12,Canna,Victory,22m 6s,Ranked Solo,Camille,7,2,3,5.0,179,8.14,31,1
13,Canna,Victory,21m 28s,Ranked Solo,Camille,7,7,2,1.29,102,4.86,29,1
14,Canna,Defeat,25m 37s,Ranked Solo,Irelia,6,10,4,1.0,218,8.72,36,0
15,Canna,Victory,24m 50s,Ranked Solo,Camille,7,4,5,3.0,151,6.29,46,1
16,Canna,Victory,25m 28s,Ranked Solo,Ryze,3,8,6,1.12,214,8.56,32,1
17,Canna,Defeat,25m 33s,Ranked Solo,Graves,3,5,3,1.2,160,6.4,43,0
18,Canna,Victory,22m 0s,Ranked Solo,Camille,8,2,1,4.5,193,8.77,38,1
19,Canna,Victory,24m 28s,Ranked Solo,Leona,4,5,17,4.2,30,1.25,70,1
0,Effort,Defeat,22m 40s,Ranked Solo,Braum,1,4,2,0.75,38,1.73,50,0
1,Effort,Defeat,30m 30s,Ranked Solo,Annie,3,8,12,1.88,52,1.73,56,0
2,Effort,Defeat,32m 28s,Ranked Solo,Gragas,6,9,16,2.44,35,1.09,71,0
3,Effort,Victory,29m 0s,Ranked Solo,Annie,2,4,15,4.25,51,1.76,74,1
4,Effort,Defeat,26m 36s,Ranked Solo,Pantheon,3,10,11,1.4,31,1.19,58,0
5,Effort,Victory,21m 12s,Ranked Solo,Sett,3,4,4,1.75,37,1.76,27,1
6,Effort,Defeat,31m 40s,Ranked Solo,Gragas,2,12,14,1.33,27,0.87,43,0
7,Effort,Victory,20m 7s,Ranked Solo,Annie,1,1,11,12.0,29,1.45,55,1
8,Effort,Victory,16m 8s,Ranked Solo,Annie,2,0,10,12.0,30,1.88,55,1
9,Effort,Defeat,35m 30s,Ranked Solo,Pantheon,6,12,14,1.67,64,1.83,51,0
10,Effort,Defeat,22m 33s,Ranked Solo,Shen,3,4,4,1.75,48,2.18,26,0
11,Effort,Victory,22m 17s,Ranked Solo,Bard,3,4,11,3.5,28,1.27,40,1
12,Effort,Defeat,23m 3s,Ranked Solo,Pantheon,2,12,5,0.58,24,1.04,50,0
13,Effort,Defeat,23m 35s,Ranked Solo,Leona,2,6,4,1.0,29,1.26,55,0
14,Effort,Victory,29m 55s,Normal,Viktor,9,6,12,3.5,166,5.72,54,1
15,Effort,Victory,25m 34s,Normal,Teemo,5,8,18,2.88,43,1.72,47,1
16,Effort,Defeat,19m 18s,Normal,Seraphine,3,4,3,1.5,15,0.79,35,0
17,Effort,Victory,28m 34s,Ranked Solo,Leona,1,6,15,2.67,35,1.25,50,1
18,Effort,Defeat,23m 5s,Ranked Solo,Leona,1,3,13,4.67,21,0.91,88,0
19,Effort,Victory,20m 42s,Ranked Solo,Alistar,2,2,15,8.5,34,1.7,55,1
0,Gumayusi,Defeat,30m 30s,Ranked Solo,Samira,4,7,9,1.86,276,9.2,65,0
1,Gumayusi,Defeat,21m 36s,Ranked Solo,Samira,8,9,3,1.22,147,7.0,50,0
2,Gumayusi,Victory,20m 14s,Ranked Solo,Jhin,13,4,4,4.25,202,10.1,63,1
3,Gumayusi,Victory,23m 59s,Ranked Solo,Jayce,11,3,9,6.67,206,8.96,40,1
4,Gumayusi,Defeat,22m 47s,Ranked Solo,Kai'Sa,2,6,4,1.0,196,8.91,50,0
5,Gumayusi,Defeat,25m 26s,Ranked Solo,Kled,2,7,3,0.71,193,7.72,42,0
6,Gumayusi,Defeat,23m 26s,Ranked Solo,Lucian,2,7,7,1.29,211,9.17,43,0
7,Gumayusi,Victory,27m 15s,Ranked Solo,Jhin,5,4,12,4.25,248,9.19,57,1
8,Gumayusi,Victory,15m 20s,Ranked Solo,Lucian,2,5,5,1.4,100,6.67,30,1
9,Gumayusi,Victory,19m 28s,Ranked Solo,Jhin,7,4,13,5.0,179,9.42,50,1
10,Gumayusi,Victory,22m 16s,Ranked Solo,Kai'Sa,10,2,5,7.5,188,8.55,52,1
11,Gumayusi,Defeat,21m 58s,Ranked Solo,Ashe,4,5,4,1.6,213,10.14,67,0
12,Gumayusi,Victory,18m 48s,Ranked Solo,Lucian,10,3,7,5.67,159,8.83,53,1
13,Gumayusi,Defeat,26m 28s,Ranked Solo,Sivir,3,8,10,1.62,217,8.35,54,0
14,Gumayusi,Victory,20m 44s,Ranked Solo,Miss Fortune,6,5,8,2.8,155,7.75,50,1
15,Gumayusi,Defeat,27m 59s,Ranked Solo,Aatrox,4,11,2,0.55,157,5.81,38,0
16,Gumayusi,Victory,16m 9s,Ranked Solo,Lucian,2,3,6,2.67,136,8.5,47,1
17,Gumayusi,Victory,19m 43s,Ranked Solo,Senna,2,1,8,10.0,173,9.11,53,1
18,Gumayusi,Defeat,33m 52s,Ranked Solo,Kai'Sa,7,10,11,1.8,263,7.97,56,0
19,Gumayusi,Victory,15m 55s,Ranked Solo,Lucian,6,3,6,4.0,137,9.13,55,1
