,건수,건수,건수,건수,건수,건수,건수,건수,건수,건수
죄종,강간,강간,강도,강도,살인,살인,절도,절도,폭력,폭력
발생검거,검거,발생,검거,발생,검거,발생,검거,발생,검거,발생
구분,,,,,,,,,,
강남,411,496,3,3,2,3,878,2003,1877,2182
강동,155,180,14,15,5,6,907,1650,1873,2161
강북,145,176,2,3,6,6,664,1229,2204,2422
강서,257,306,4,3,9,8,1077,2050,2192,2555
관악,335,408,11,10,10,13,1085,2223,2363,2667
광진,213,273,5,6,5,4,1008,1875,1584,1852
구로,165,226,4,3,9,10,965,1916,2145,2549
금천,126,153,6,10,6,6,615,1157,1588,1776
남대문,39,68,1,2,0,1,476,1004,688,786
노원,158,184,3,3,4,4,681,1498,2116,2461
도봉,83,90,5,5,1,1,394,790,1014,1224
동대문,143,168,9,10,6,6,827,1531,1831,1975
동작,110,251,1,1,2,4,579,1328,1503,1816
마포,417,495,2,2,2,2,917,2190,1832,2153
방배,36,53,0,0,1,1,214,403,441,495
서대문,154,175,5,5,1,2,600,1226,1258,1533
서부,56,62,0,0,1,1,422,624,747,843
서초,376,563,5,7,4,4,904,1867,1763,2141
성동,96,133,10,9,5,6,511,970,1214,1392
성북,75,117,0,0,2,2,259,442,674,737
송파,230,273,10,10,8,7,1016,2416,2535,2989
수서,151,170,3,2,1,2,461,967,1276,1470
양천,112,127,2,2,6,6,634,1477,1369,1602
영등포,239,356,3,3,10,10,1068,2409,2465,3039
용산,237,272,4,3,3,3,544,999,1821,2035
은평,106,132,1,1,2,2,555,941,1109,1271
종로,122,152,4,5,2,2,369,816,1058,1248
종암,55,59,3,3,1,1,472,640,779,873
중랑,108,138,5,4,10,10,908,1666,2104,2447
중부,76,127,4,4,1,1,574,1198,944,1135
혜화,55,86,2,2,1,2,364,699,732,832
